,disparities_FIPS,disparities_County,disparities_State,disparities_Condition,disparities_Urban/Rural,disparities_Total,disparities_Total No. of Beneficiaries,disparities_White,disparities_No. of Beneficiaries Who are White,disparities_Black,disparities_No. of Beneficiaries Who are Black,disparities_Asian/Pacific Islander,disparities_No. of Beneficiaries Who are Asian/Pacific Islander,disparities_Hispanic,disparities_No. of Beneficiaries Who are Hispanic,disparities_American Indian/Alaska Native,disparities_No. of Beneficiaries Who are American Indian/Alaska Native,disparities_Other,disparities_No. of Beneficiaries Who are in Other Ethic Groups,covid_date_as_of,covid_last_week,covid_state,covid_county_name,covid_fips_county_code,covid_deaths_involving_covid_19,covid_deaths_from_all_causes,covid_Longitude,covid_Latitude
12688,54045,LOGAN,WV,Diabetes,Rural,33,"[5,000-9,999]",34.0,"[5,000-9,999]",28.0,[11-499],,*,29.0,[11-499],,*,50.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WV,Logan County,54045.0,27.0,317.0,-80.613729,38.642579
12693,54055,MERCER,WV,Diabetes,Rural,33,"[10,000+]",33.0,"[10,000+]",37.0,[500-999],47.0,[11-499],55.0,[11-499],,*,33.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WV,Mercer County,54055.0,25.0,590.0,-80.613729,38.642579
12696,54061,MONONGALIA,WV,Diabetes,Urban,27,"[5,000-9,999]",27.0,"[5,000-9,999]",35.0,[11-499],36.0,[11-499],30.0,[11-499],,*,46.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WV,Monongalia County,54061.0,29.0,1268.0,-80.613729,38.642579
12700,54069,OHIO,WV,Diabetes,Urban,26,"[5,000-9,999]",26.0,"[5,000-9,999]",31.0,[11-499],15.0,[11-499],38.0,[11-499],33.0,[11-499],,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WV,Ohio County,54069.0,20.0,718.0,-80.613729,38.642579
12706,54081,RALEIGH,WV,Diabetes,Rural,29,"[10,000+]",29.0,"[10,000+]",34.0,[500-999],24.0,[11-499],32.0,[11-499],,*,32.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WV,Raleigh County,54081.0,13.0,969.0,-80.613729,38.642579
12715,54099,WAYNE,WV,Diabetes,Urban,32,"[1,000-4,999]",32.0,"[1,000-4,999]",,*,,*,,*,,*,29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WV,Wayne County,54099.0,11.0,197.0,-80.613729,38.642579
12719,54107,WOOD,WV,Diabetes,Urban,31,"[10,000+]",31.0,"[10,000+]",41.0,[11-499],19.0,[11-499],23.0,[11-499],,*,30.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WV,Wood County,54107.0,11.0,755.0,-80.613729,38.642579
12725,55009,BROWN,WI,Diabetes,Urban,24,"[10,000+]",22.0,"[10,000+]",29.0,[11-499],27.0,[11-499],35.0,[11-499],47.0,[500-999],32.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Brown County,55009.0,137.0,2152.0,-89.732969,44.639954
12729,55017,CHIPPEWA,WI,Diabetes,Urban,23,"[5,000-9,999]",23.0,"[5,000-9,999]",43.0,[11-499],36.0,[11-499],13.0,[11-499],44.0,[11-499],28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Chippewa County,55017.0,12.0,371.0,-89.732969,44.639954
12730,55019,CLARK,WI,Diabetes,Rural,22,"[1,000-4,999]",22.0,"[1,000-4,999]",,*,,*,35.0,[11-499],,*,33.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Clark County,55019.0,11.0,211.0,-89.732969,44.639954
12733,55025,DANE,WI,Diabetes,Urban,19,"[10,000+]",18.0,"[10,000+]",33.0,"[1,000-4,999]",31.0,[500-999],28.0,[500-999],35.0,[11-499],28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Dane County,55025.0,94.0,3536.0,-89.732969,44.639954
12734,55027,DODGE,WI,Diabetes,Rural,24,"[5,000-9,999]",24.0,"[5,000-9,999]",23.0,[11-499],38.0,[11-499],42.0,[11-499],,*,30.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Dodge County,55027.0,29.0,703.0,-89.732969,44.639954
12738,55035,EAU CLAIRE,WI,Diabetes,Urban,22,"[10,000+]",22.0,"[10,000+]",34.0,[11-499],33.0,[11-499],29.0,[11-499],43.0,[11-499],31.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Eau Claire County,55035.0,22.0,954.0,-89.732969,44.639954
12740,55039,FOND DU LAC,WI,Diabetes,Urban,24,"[10,000+]",24.0,"[5,000-9,999]",28.0,[11-499],38.0,[11-499],32.0,[11-499],,[11-499],41.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Fond du Lac County,55039.0,24.0,789.0,-89.732969,44.639954
12742,55043,GRANT,WI,Diabetes,Rural,23,"[5,000-9,999]",23.0,"[5,000-9,999]",,[11-499],41.0,[11-499],27.0,[11-499],,*,17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Grant County,55043.0,21.0,339.0,-89.732969,44.639954
12750,55059,KENOSHA,WI,Diabetes,Urban,25,"[10,000+]",24.0,"[10,000+]",32.0,[500-999],33.0,[11-499],36.0,[500-999],47.0,[11-499],37.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Kenosha County,55059.0,99.0,1215.0,-89.732969,44.639954
12752,55063,LA CROSSE,WI,Diabetes,Urban,23,"[10,000+]",22.0,"[10,000+]",34.0,[11-499],27.0,[11-499],25.0,[11-499],53.0,[11-499],20.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,La Crosse County,55063.0,39.0,1137.0,-89.732969,44.639954
12756,55071,MANITOWOC,WI,Diabetes,Rural,24,"[5,000-9,999]",24.0,"[5,000-9,999]",22.0,[11-499],35.0,[11-499],41.0,[11-499],51.0,[11-499],37.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Manitowoc County,55071.0,12.0,572.0,-89.732969,44.639954
12757,55073,MARATHON,WI,Diabetes,Urban,24,"[10,000+]",23.0,"[10,000+]",22.0,[11-499],37.0,[500-999],30.0,[11-499],48.0,[11-499],31.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Marathon County,55073.0,69.0,1183.0,-89.732969,44.639954
12758,55075,MARINETTE,WI,Diabetes,Rural,24,"[5,000-9,999]",24.0,"[5,000-9,999]",33.0,[11-499],25.0,[11-499],36.0,[11-499],35.0,[11-499],32.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Marinette County,55075.0,12.0,375.0,-89.732969,44.639954
12761,55079,MILWAUKEE,WI,Diabetes,Urban,26,"[10,000+]",23.0,"[10,000+]",34.0,"[10,000+]",37.0,"[1,000-4,999]",40.0,"[1,000-4,999]",42.0,[11-499],29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Milwaukee County,55079.0,571.0,7853.0,-89.732969,44.639954
12765,55087,OUTAGAMIE,WI,Diabetes,Urban,24,"[10,000+]",23.0,"[10,000+]",28.0,[11-499],32.0,[11-499],31.0,[11-499],52.0,[11-499],37.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Outagamie County,55087.0,92.0,1353.0,-89.732969,44.639954
12766,55089,OZAUKEE,WI,Diabetes,Urban,20,"[5,000-9,999]",20.0,"[5,000-9,999]",43.0,[11-499],22.0,[11-499],22.0,[11-499],,*,33.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Ozaukee County,55089.0,66.0,895.0,-89.732969,44.639954
12770,55097,PORTAGE,WI,Diabetes,Rural,20,"[5,000-9,999]",20.0,"[5,000-9,999]",28.0,[11-499],33.0,[11-499],37.0,[11-499],,[11-499],24.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Portage County,55097.0,11.0,352.0,-89.732969,44.639954
12772,55101,RACINE,WI,Diabetes,Urban,24,"[10,000+]",23.0,"[10,000+]",35.0,"[1,000-4,999]",27.0,[11-499],38.0,[500-999],24.0,[11-499],31.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Racine County,55101.0,81.0,1339.0,-89.732969,44.639954
12774,55105,ROCK,WI,Diabetes,Urban,24,"[10,000+]",23.0,"[10,000+]",31.0,[500-999],34.0,[11-499],32.0,[11-499],23.0,[11-499],45.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Rock County,55105.0,42.0,1322.0,-89.732969,44.639954
12779,55115,SHAWANO,WI,Diabetes,Rural,27,"[1,000-4,999]",25.0,"[1,000-4,999]",,*,,*,25.0,[11-499],42.0,[11-499],,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Shawano County,55115.0,16.0,309.0,-89.732969,44.639954
12780,55117,SHEBOYGAN,WI,Diabetes,Urban,24,"[10,000+]",23.0,"[10,000+]",32.0,[11-499],35.0,[11-499],29.0,[11-499],38.0,[11-499],30.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Sheboygan County,55117.0,35.0,900.0,-89.732969,44.639954
12785,55127,WALWORTH,WI,Diabetes,Rural,21,"[10,000+]",20.0,"[10,000+]",25.0,[11-499],24.0,[11-499],34.0,[11-499],,*,23.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Walworth County,55127.0,36.0,659.0,-89.732969,44.639954
12787,55131,WASHINGTON,WI,Diabetes,Urban,23,"[10,000+]",23.0,"[10,000+]",38.0,[11-499],36.0,[11-499],30.0,[11-499],,[11-499],15.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Washington County,55131.0,20.0,821.0,-89.732969,44.639954
12788,55133,WAUKESHA,WI,Diabetes,Urban,21,"[10,000+]",20.0,"[10,000+]",26.0,[11-499],34.0,[11-499],29.0,[500-999],42.0,[11-499],25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Waukesha County,55133.0,118.0,2789.0,-89.732969,44.639954
12789,55135,WAUPACA,WI,Diabetes,Rural,24,"[5,000-9,999]",24.0,"[5,000-9,999]",43.0,[11-499],29.0,[11-499],30.0,[11-499],40.0,[11-499],18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Waupaca County,55135.0,40.0,478.0,-89.732969,44.639954
12791,55139,WINNEBAGO,WI,Diabetes,Urban,23,"[10,000+]",23.0,"[10,000+]",28.0,[11-499],37.0,[11-499],24.0,[11-499],39.0,[11-499],28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Winnebago County,55139.0,51.0,1347.0,-89.732969,44.639954
12792,55141,WOOD,WI,Diabetes,Rural,24,"[5,000-9,999]",24.0,"[5,000-9,999]",35.0,[11-499],32.0,[11-499],40.0,[11-499],56.0,[11-499],18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WI,Wood County,55141.0,29.0,955.0,-89.732969,44.639954
12805,56025,NATRONA,WY,Diabetes,Urban,21,"[10,000+]",20.0,"[10,000+]",23.0,[11-499],28.0,[11-499],33.0,[11-499],30.0,[11-499],28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,WY,Natrona County,56025.0,16.0,699.0,-107.55145,42.999627
12892,1001,AUTAUGA,AL,Hypertension,Urban,65,"[1,000-4,999]",65.0,"[1,000-4,999]",66.0,[500-999],71.0,[11-499],56.0,[11-499],,*,46.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Autauga County,1001.0,27.0,386.0,-86.844516,32.756889
12893,1003,BALDWIN,AL,Hypertension,Rural,61,"[10,000+]",61.0,"[10,000+]",64.0,"[1,000-4,999]",54.0,[11-499],54.0,[11-499],67.0,[11-499],59.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Baldwin County,1003.0,85.0,1664.0,-86.844516,32.756889
12894,1005,BARBOUR,AL,Hypertension,Rural,69,"[1,000-4,999]",67.0,"[1,000-4,999]",71.0,[500-999],,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Barbour County,1005.0,13.0,205.0,-86.844516,32.756889
12895,1007,BIBB,AL,Hypertension,Urban,69,"[1,000-4,999]",69.0,"[1,000-4,999]",69.0,[11-499],,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Bibb County,1007.0,18.0,143.0,-86.844516,32.756889
12896,1009,BLOUNT,AL,Hypertension,Urban,65,"[1,000-4,999]",66.0,"[1,000-4,999]",66.0,[11-499],,*,46.0,[11-499],,*,50.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Blount County,1009.0,12.0,377.0,-86.844516,32.756889
12898,1013,BUTLER,AL,Hypertension,Rural,70,"[1,000-4,999]",67.0,"[1,000-4,999]",74.0,"[1,000-4,999]",,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Butler County,1013.0,27.0,170.0,-86.844516,32.756889
12899,1015,CALHOUN,AL,Hypertension,Urban,66,"[10,000+]",66.0,"[10,000+]",69.0,"[1,000-4,999]",58.0,[11-499],61.0,[11-499],,*,59.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Calhoun County,1015.0,102.0,1205.0,-86.844516,32.756889
12900,1017,CHAMBERS,AL,Hypertension,Rural,67,"[5,000-9,999]",66.0,"[1,000-4,999]",70.0,"[1,000-4,999]",,*,43.0,[11-499],,*,69.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Chambers County,1017.0,10.0,288.0,-86.844516,32.756889
12901,1019,CHEROKEE,AL,Hypertension,Rural,63,"[1,000-4,999]",63.0,"[1,000-4,999]",67.0,[11-499],,*,42.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Cherokee County,1019.0,10.0,230.0,-86.844516,32.756889
12902,1021,CHILTON,AL,Hypertension,Urban,65,"[1,000-4,999]",65.0,"[1,000-4,999]",67.0,[11-499],,*,65.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Chilton County,1021.0,18.0,308.0,-86.844516,32.756889
12905,1027,CLAY,AL,Hypertension,Rural,65,"[1,000-4,999]",66.0,"[1,000-4,999]",66.0,[11-499],,*,36.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Clay County,1027.0,28.0,150.0,-86.844516,32.756889
12907,1031,COFFEE,AL,Hypertension,Rural,69,"[5,000-9,999]",69.0,"[5,000-9,999]",68.0,[500-999],61.0,[11-499],51.0,[11-499],,*,63.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Coffee County,1031.0,12.0,391.0,-86.844516,32.756889
12908,1033,COLBERT,AL,Hypertension,Urban,72,"[5,000-9,999]",71.0,"[5,000-9,999]",79.0,"[1,000-4,999]",57.0,[11-499],69.0,[11-499],,*,71.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Colbert County,1033.0,41.0,484.0,-86.844516,32.756889
12911,1039,COVINGTON,AL,Hypertension,Rural,72,"[5,000-9,999]",72.0,"[5,000-9,999]",75.0,[500-999],55.0,[11-499],63.0,[11-499],45.0,[11-499],45.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Covington County,1039.0,56.0,433.0,-86.844516,32.756889
12912,1041,CRENSHAW,AL,Hypertension,Rural,66,"[1,000-4,999]",65.0,"[1,000-4,999]",70.0,[11-499],,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Crenshaw County,1041.0,26.0,154.0,-86.844516,32.756889
12913,1043,CULLMAN,AL,Hypertension,Rural,66,"[10,000+]",66.0,"[10,000+]",56.0,[11-499],70.0,[11-499],46.0,[11-499],,*,68.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Cullman County,1043.0,34.0,779.0,-86.844516,32.756889
12914,1045,DALE,AL,Hypertension,Rural,68,"[5,000-9,999]",68.0,"[5,000-9,999]",71.0,"[1,000-4,999]",66.0,[11-499],55.0,[11-499],,*,75.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Dale County,1045.0,53.0,367.0,-86.844516,32.756889
12915,1047,DALLAS,AL,Hypertension,Rural,67,"[5,000-9,999]",66.0,"[1,000-4,999]",68.0,"[1,000-4,999]",61.0,[11-499],47.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Dallas County,1047.0,46.0,366.0,-86.844516,32.756889
12916,1049,DE KALB,AL,Hypertension,Rural,66,"[5,000-9,999]",66.0,"[5,000-9,999]",62.0,[11-499],,*,58.0,[11-499],,*,82.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,DeKalb County,1049.0,21.0,525.0,-86.844516,32.756889
12917,1051,ELMORE,AL,Hypertension,Urban,63,"[5,000-9,999]",63.0,"[5,000-9,999]",62.0,[500-999],48.0,[11-499],48.0,[11-499],,*,63.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Elmore County,1051.0,35.0,523.0,-86.844516,32.756889
12918,1053,ESCAMBIA,AL,Hypertension,Rural,67,"[1,000-4,999]",65.0,"[1,000-4,999]",70.0,"[1,000-4,999]",,*,50.0,[11-499],83.0,[11-499],,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Escambia County,1053.0,21.0,287.0,-86.844516,32.756889
12919,1055,ETOWAH,AL,Hypertension,Urban,67,"[10,000+]",67.0,"[10,000+]",70.0,"[1,000-4,999]",50.0,[11-499],58.0,[11-499],,*,63.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Etowah County,1055.0,139.0,1276.0,-86.844516,32.756889
12921,1059,FRANKLIN,AL,Hypertension,Rural,70,"[5,000-9,999]",70.0,"[1,000-4,999]",73.0,[11-499],,*,60.0,[11-499],,*,56.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Franklin County,1059.0,13.0,229.0,-86.844516,32.756889
12926,1069,HOUSTON,AL,Hypertension,Urban,67,"[10,000+]",67.0,"[10,000+]",68.0,"[1,000-4,999]",56.0,[11-499],69.0,[11-499],62.0,[11-499],57.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Houston County,1069.0,253.0,1569.0,-86.844516,32.756889
12927,1071,JACKSON,AL,Hypertension,Rural,68,"[5,000-9,999]",68.0,"[5,000-9,999]",76.0,[11-499],83.0,[11-499],61.0,[11-499],,*,61.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Jackson County,1071.0,18.0,480.0,-86.844516,32.756889
12928,1073,JEFFERSON,AL,Hypertension,Urban,61,"[10,000+]",63.0,"[10,000+]",58.0,"[10,000+]",50.0,[11-499],53.0,[11-499],46.0,[11-499],52.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Jefferson County,1073.0,654.0,7657.0,-86.844516,32.756889
12930,1077,LAUDERDALE,AL,Hypertension,Urban,68,"[10,000+]",68.0,"[10,000+]",72.0,"[1,000-4,999]",58.0,[11-499],59.0,[11-499],,*,55.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Lauderdale County,1077.0,77.0,1113.0,-86.844516,32.756889
12932,1081,LEE,AL,Hypertension,Urban,65,"[10,000+]",64.0,"[5,000-9,999]",67.0,"[1,000-4,999]",44.0,[11-499],50.0,[11-499],,*,50.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Lee County,1081.0,150.0,1013.0,-86.844516,32.756889
12933,1083,LIMESTONE,AL,Hypertension,Urban,68,"[5,000-9,999]",67.0,"[5,000-9,999]",72.0,[500-999],60.0,[11-499],60.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Limestone County,1083.0,37.0,620.0,-86.844516,32.756889
12936,1089,MADISON,AL,Hypertension,Urban,65,"[10,000+]",65.0,"[10,000+]",68.0,"[5,000-9,999]",57.0,[500-999],57.0,[500-999],68.0,[11-499],63.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Madison County,1089.0,162.0,3209.0,-86.844516,32.756889
12937,1091,MARENGO,AL,Hypertension,Rural,69,"[1,000-4,999]",66.0,"[1,000-4,999]",72.0,"[1,000-4,999]",,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Marengo County,1091.0,16.0,184.0,-86.844516,32.756889
12938,1093,MARION,AL,Hypertension,Rural,69,"[5,000-9,999]",69.0,"[1,000-4,999]",70.0,[11-499],,*,60.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Marion County,1093.0,25.0,304.0,-86.844516,32.756889
12939,1095,MARSHALL,AL,Hypertension,Rural,65,"[10,000+]",66.0,"[10,000+]",72.0,[11-499],64.0,[11-499],45.0,[11-499],,*,63.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Marshall County,1095.0,54.0,924.0,-86.844516,32.756889
12940,1097,MOBILE,AL,Hypertension,Urban,62,"[10,000+]",63.0,"[10,000+]",63.0,"[5,000-9,999]",49.0,[11-499],55.0,[11-499],74.0,[11-499],55.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Mobile County,1097.0,443.0,4141.0,-86.844516,32.756889
12942,1101,MONTGOMERY,AL,Hypertension,Urban,63,"[10,000+]",62.0,"[10,000+]",64.0,"[5,000-9,999]",59.0,[11-499],54.0,[11-499],,*,67.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Montgomery County,1101.0,358.0,2475.0,-86.844516,32.756889
12943,1103,MORGAN,AL,Hypertension,Urban,66,"[10,000+]",66.0,"[10,000+]",68.0,"[1,000-4,999]",60.0,[11-499],51.0,[11-499],,*,56.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Morgan County,1103.0,60.0,1035.0,-86.844516,32.756889
12946,1109,PIKE,AL,Hypertension,Rural,68,"[1,000-4,999]",67.0,"[1,000-4,999]",69.0,"[1,000-4,999]",,*,67.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Pike County,1109.0,16.0,227.0,-86.844516,32.756889
12947,1111,RANDOLPH,AL,Hypertension,Rural,67,"[1,000-4,999]",66.0,"[1,000-4,999]",72.0,[500-999],,*,64.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Randolph County,1111.0,11.0,170.0,-86.844516,32.756889
12948,1113,RUSSELL,AL,Hypertension,Urban,65,"[5,000-9,999]",66.0,"[5,000-9,999]",66.0,"[1,000-4,999]",44.0,[11-499],53.0,[11-499],,*,58.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Russell County,1113.0,12.0,295.0,-86.844516,32.756889
12949,1115,ST. CLAIR,AL,Hypertension,Urban,67,"[5,000-9,999]",67.0,"[5,000-9,999]",69.0,[11-499],60.0,[11-499],54.0,[11-499],,*,53.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,St. Clair County,1115.0,43.0,612.0,-86.844516,32.756889
12950,1117,SHELBY,AL,Hypertension,Urban,64,"[5,000-9,999]",64.0,"[5,000-9,999]",63.0,[500-999],61.0,[11-499],53.0,[11-499],,*,61.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Shelby County,1117.0,88.0,1123.0,-86.844516,32.756889
12952,1121,TALLADEGA,AL,Hypertension,Rural,64,"[5,000-9,999]",64.0,"[5,000-9,999]",64.0,"[1,000-4,999]",37.0,[11-499],55.0,[11-499],,*,47.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Talladega County,1121.0,32.0,663.0,-86.844516,32.756889
12953,1123,TALLAPOOSA,AL,Hypertension,Rural,65,"[5,000-9,999]",64.0,"[1,000-4,999]",67.0,"[1,000-4,999]",44.0,[11-499],50.0,[11-499],,*,71.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Tallapoosa County,1123.0,70.0,420.0,-86.844516,32.756889
12954,1125,TUSCALOOSA,AL,Hypertension,Urban,67,"[10,000+]",68.0,"[10,000+]",66.0,"[5,000-9,999]",61.0,[11-499],60.0,[11-499],55.0,[11-499],59.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Tuscaloosa County,1125.0,237.0,1836.0,-86.844516,32.756889
12955,1127,WALKER,AL,Hypertension,Urban,71,"[5,000-9,999]",71.0,"[5,000-9,999]",73.0,[11-499],43.0,[11-499],90.0,[11-499],,*,77.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Walker County,1127.0,72.0,797.0,-86.844516,32.756889
12956,1129,WASHINGTON,AL,Hypertension,Rural,63,"[1,000-4,999]",63.0,"[1,000-4,999]",63.0,[500-999],,*,,*,42.0,[11-499],,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Washington County,1129.0,10.0,99.0,-86.844516,32.756889
12958,1133,WINSTON,AL,Hypertension,Rural,70,"[1,000-4,999]",70.0,"[1,000-4,999]",,*,,*,33.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AL,Winston County,1133.0,10.0,213.0,-86.844516,32.756889
12959,2020,ANCHORAGE,AK,Hypertension,Urban,41,"[10,000+]",40.0,"[10,000+]",47.0,"[1,000-4,999]",54.0,"[1,000-4,999]",40.0,"[1,000-4,999]",38.0,"[1,000-4,999]",42.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AK,Anchorage Borough,2020.0,48.0,1544.0,-151.631889,63.631126
12963,2090,FAIRBANKS NORTH STAR,AK,Hypertension,Urban,40,"[5,000-9,999]",39.0,"[5,000-9,999]",48.0,[11-499],37.0,[11-499],41.0,[11-499],47.0,[500-999],31.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AK,Fairbanks North Star Borough,2090.0,14.0,368.0,-151.631889,63.631126
12976,4001,APACHE,AZ,Hypertension,Rural,47,"[5,000-9,999]",43.0,"[1,000-4,999]",63.0,[11-499],27.0,[11-499],44.0,[11-499],50.0,"[5,000-9,999]",17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Apache County,4001.0,42.0,421.0,-111.664616,34.293239
12977,4003,COCHISE,AZ,Hypertension,Rural,48,"[10,000+]",48.0,"[10,000+]",56.0,[500-999],43.0,[11-499],48.0,"[1,000-4,999]",51.0,[11-499],49.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Cochise County,4003.0,31.0,844.0,-111.664616,34.293239
12978,4005,COCONINO,AZ,Hypertension,Urban,44,"[10,000+]",41.0,"[10,000+]",44.0,[11-499],32.0,[11-499],46.0,"[1,000-4,999]",53.0,"[1,000-4,999]",34.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AZ,Coconino County,4005.0,131.0,988.0,-111.664616,34.293239
